key,en,ta
# Navbar
nav.open_menu,Open menu
admin.services.field_name,Service Name
admin.services.field_name_placeholder,e.g. Home Cleaning
admin.services.field_description,Description
admin.services.field_description_placeholder,Describe the service...
admin.services.field_price,Price ($)
admin.services.field_price_placeholder,49.99
admin.services.field_duration,Duration
admin.services.field_duration_placeholder,e.g. 2 hours
admin.services.field_document,Document (PDF only)
admin.services.field_current,Current:
admin.services.cancel,Cancel
admin.services.update,Update
admin.services.create,Create
admin.services.updated,Service updated successfully!
admin.services.created,Service created successfully!
admin.services.deleted,Service deleted.
admin.services.confirm_delete,Are you sure you want to delete this service?

# Manage Providers (Admin)
admin.providers.title,Manage Providers
admin.providers.subtitle,Add, edit and manage service providers
admin.providers.add_btn,+ Add Provider
admin.providers.table_id,#
admin.providers.table_name,Name
admin.providers.table_skill,Skill Type
admin.providers.table_phone,Phone
admin.providers.table_status,Status
admin.providers.table_actions,Actions
admin.providers.edit,✏️ Edit
admin.providers.delete,🗑️ Delete
admin.providers.none,No providers found.
admin.providers.modal_add,➕ Add Provider
admin.providers.modal_edit,✏️ Edit Provider
admin.providers.field_name,Full Name
admin.providers.field_name_placeholder,Provider name
admin.providers.field_skill,Skill Type
admin.providers.field_skill_placeholder,e.g. Home Cleaning
admin.providers.field_phone,Phone Number
admin.providers.field_phone_placeholder,555-0100
admin.providers.field_availability,Availability Status
admin.providers.field_image,Profile Image
admin.providers.field_current,Current:
admin.providers.cancel,Cancel
admin.providers.update,Update
admin.providers.add_provider,Add Provider
admin.providers.updated,Provider updated!
admin.providers.created,Provider added!
admin.providers.deleted,Provider deleted.
admin.providers.confirm_delete,Delete this provider?

# Manage Bookings (Admin)
admin.bookings.title,Manage Bookings
admin.bookings.subtitle,View and update all booking statuses
admin.bookings.filter_all,All
admin.bookings.filter_pending,Pending
admin.bookings.filter_confirmed,Confirmed
admin.bookings.filter_completed,Completed
admin.bookings.filter_cancelled,Cancelled
admin.bookings.table_id,#
admin.bookings.table_customer,Customer
admin.bookings.table_service,Service
admin.bookings.table_provider,Provider
admin.bookings.table_date,Date
admin.bookings.table_address,Address
admin.bookings.table_status,Status
admin.bookings.table_action,Action
admin.bookings.status_btn,✏️ Status
admin.bookings.none,No bookings found.
admin.bookings.showing,Showing {{count}} of {{total}} bookings
admin.bookings.prev,← Prev
admin.bookings.next,Next →
admin.bookings.modal_title,Update Booking Status
admin.bookings.modal_booking,Booking
admin.bookings.cancel,Cancel
admin.bookings.update_btn,Update Status
admin.bookings.updated,Booking status updated!

# Status labels (StatusBadge)
status.pending,⏳ Pending
status.confirmed,✅ Confirmed
status.completed,🎉 Completed
status.cancelled,❌ Cancelled
status.available,🟢 Available
status.not_available,🔴 Not Available

# Common
common.loading,Loading...
common.bookease,BookEase
common.user_role,Role

# Unauthorized
unauthorized.title,Access Denied
unauthorized.message,You don't have permission to view this page. This area is restricted to authorized personnel only.
unauthorized.go_back,← Go Back
unauthorized.switch_account,Sign in with different account
unauthorized.contact_admin,If you believe this is an error, please contact your administrator.

# Success Modal
success.title,Success!
success.message,Operation completed successfully.
success.view_bookings,View My Bookings →
success.close,Close

# Errors
error.welcome_back,Welcome back! 👋
error.verify_email,Please verify your email first.
error.no_email_found,No email found.
error.booking_failed,Failed to create booking
error.operation_failed,Operation failed
error.delete_failed,Delete failed



# Error fallback messages
error.login_failed,Login failed
error.registration_failed,Registration failed
error.verification_failed,Verification failed
error.resend_failed,Failed to resend code
error.unexpected,An unexpected error occurred.

# Auth register success toast
auth.register.success,Account created! Check your email for the verification code.

# Sidebar language
sidebar.language,Language / மொழி
lang.en,English
lang.ta,தமிழ்

# Admin pagination
admin.services.prev,← Prev
admin.services.next,Next →
admin.providers.prev,← Prev
admin.providers.next,Next →
